"Reference","Value","Footprint","QUANTITY","Description"
"A1","RPi Zero 2 W","","1",""
"BT1","Li-po 3.7V 1500mAh","","1",""
"CAM1","RPi Camera v2","","1",""
"DS1","ST7789 1.69in 240x280","","1",""
"J1","USB-C recept","","1",""
"J2","Pogo 6p (CORE)","","1",""
"J3","CSI FFC 15p","","1",""
"LS1","Speaker 8R 1W","","1",""
"MK1","SPH0645LM4H","","1",""
"R1,R2","4.7k","Resistor_SMD:R_0402_1005Metric","2",""
"R3,R4","10k","Resistor_SMD:R_0402_1005Metric","2",""
"R5","100k","Resistor_SMD:R_0402_1005Metric","1",""
"R7,R8","5.1k","Resistor_SMD:R_0402_1005Metric","2",""
"SW1","EC11","","1",""
"U2","IP5306","Package_SO:ESOP-8","1",""
"U4","MAX98357A","Package_DFN_QFN:QFN-16","1",""
"U5","TPS22918","Package_TO_SOT_SMD:SOT-23-6","1",""
"U6","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1",""
